"prefix","code","course name","description","credit hours","prereqs","coreqs"
"NURS","362S","Clinical Immersion II","Provides the opportunity to practice health promotion, health restoration, and health maintenance for patients. Focuses on unique needs of patients experiencing acute and chronic physical conditions with an emphasis on foundational skills and assessments building on nursing knowledge, communication skills, and critical reasoning. Experiences are in a variety of settings, supplemented with simulation and service-learning experiences.","4","",""
"NURS","363","Nursing Care of the Adult I","Knowledge of concepts required to provide high-quality, evidence-based care to adults with commonly occurring medical-surgical problems and diseases(RE) Prerequisite(s):  NURS 314 and NURS 352 .","3","",""
"NURS","371R","Nursing Research","Provides concepts, knowledge, and skills needed to search, analyze, critique, and synthesize nursing research for application to evidence-based practice.","3","ENGL 102 or ENGL 112 or ENGL 132 or ENGL 298",""
"NURS","378R","Honors: Nursing Research","Honors version of NURS 371R *. Provides concepts, knowledge, and skills needed to search, analyze, critique, and synthesize nursing research for application to evidence-based practice. Students work with course faculty and/or course mentor to develop a significant project/presentation.","3","ENGL 102 or ENGL 112 or ENGL 132 or ENGL 298",""
"NURS","383","Population Health and Global Health Perspectives for the Registered Nurse","his course explores nurses  critical role in advancing health promotion, illness prevention, and disease management for families, communities, and populations locally and globally. Through online and clinical engagement, learners participate in reflective practice and applied learning aimed to expand knowledge, skills, and attitudes toward responsibly and ethically promoting equitable health outcomes for all.","5","",""
"NURS","388R","Nursing Honors Mentorship","An individualized course in which the student collaborates with a faculty mentor to create a program of learning which supports academic and professional goals.","1","",""
"NURS","401","Pharmacotherapeutics for the Registered Nurse","Emphasis on advancing the RN s knowledge of the nursing implications of basic principles of drug action and the therapeutic application of select major pharmacological classification of drugs currently used in clinical nursing practice.","4","",""
"NURS","405","Clinical Immersion III","Provides beginning students the opportunity to practice health promotion, health restoration, and health maintenance within a specialty area such as childbearing women, children, individuals with mental health conditions, requiring critical care or aging adults. Builds on the foundation of nursing knowledge, communication skills, and critical reasoning to address unique needs of the specialty population selected. Experiences are in a variety of settings, supplemented with simulation.","2","",""
"NURS","411","Maternal-Newborn Nursing","Promotion, maintenance, and restoration of health for women during childbearing years, their newborns, and families. Physiological, environmental, cultural, and behavioral factors and issues that impact reproductive women and childbearing are addressed.","3","NURS 321 or NURS 353 or NURS 362S or NURS 363","NURS 412 or NURS 461 or NURS 462S"
"NURS","412","Pediatric Nursing","Promotion, maintenance, and restoration of health for infants, children, and families. Emphasis on developmental stages, family processes, health promotion practices, and cultural influences.","3","NURS 321 or NURS 362S","NURS 411 or NURS 461 or NURS 462S"
"NURS","415","Maternal-Newborn Nursing for the Accelerated Student","Emphasis on using, integrating, and synthesizing knowledge from natural and behavioral sciences to provide high-quality, evidence-based care to childbearing women and their neonates.","3","NURS 351 or NURS 419 or NURS 420 or NURS 422","NURS 432 or NURS 433 or NURS 444 or NURS 445 or NURS 454"
"NURS","419","Nursing Care of Adults for the Accelerated Student","Focus on maintenance and restoration of health for adults with commonly occurring acute, chronic, or complex health needs. Emphasis on critical indicators of underlying conditions, quality of care, and end of life care. Comparison of nursing needs of older adults to younger populations.","4","NURS 309 or NURS 316 or NURS 322 or NURS 333 and NURS 354","NURS 351 or NURS 420 or NURS 422"
"NURS","420","Clinical Immersion II for the Accelerated Student","Emphasis is on maintenance and restoration of health for adults with commonly occurring acute, chronic, or complex health needs. Emphasis on critical indicators of underlying conditions, quality of care, and end of life care. Comparison of nursing needs of older adults to younger adult populations.","4","",""
"NURS","422","Psychiatric Mental Health Nursing for the Accelerated Student","Emphasis on using, integrating, and synthesizing knowledge to provide high quality evidenced based care to patients experiencing bio-psycho-social issues and mental disorders.","3","NURS 309 or NURS 316 or NURS 322 or NURS 333 or NURS 354","NURS 351 or NURS 419 or NURS 420"
"NURS","432","Population Health for the Accelerated Student","Emphasis is on the primary, secondary, and tertiary prevention of health problems. Concepts of community and population health affecting culturally diverse and vulnerable populations.","2","NURS 351 or NURS 419 or NURS 420 or NURS 422","NURS 415 or NURS 433 or NURS 444 or NURS 454"
"NURS","433","Clinical Immersion IV for the Accelerated Student","Emphasis on leadership to examine the impact of innovation, practice excellence, intra- and inter-professional collaboration, and population health with specific population and/or setting. Builds on all previous clinical immersions to synthesize the scientific process, evidence based practice, clinical reasoning, and problem-solving to support clinical decision-making. Experiences are in a variety of settings, supplemented with simulation and service-learning experiences.","2","",""
"NURS","444","Pediatric Nursing for the Accelerated Student","Emphasis on using, integrating and synthesizing knowledge from natural and behavioral sciences to provide high quality, evidence-based care to pediatric patients and their families.","3","NURS 351 or NURS 419 or NURS 420 or NURS 422","NURS 415 or NURS 432 or NURS 433 or NURS 445 or NURS 454"
"NURS","445","Clinical Immersion III for the Accelerated Student","Provides students the opportunity to practice health promotion, health restoration, and health maintenance with 1 or 2 of the following patient populations/settings: childbearing women, children, individuals with mental health conditions, aging adults, adults (acute care or primary care), or critical care. Builds on the foundation of nursing knowledge, communication skills, and critical reasoning to address unique needs of the specialty population selected. Experiences are in a variety of settings and supplemented with simulation.","4","",""
"NURS","452","Nursing Leadership","Leadership and management competencies needed by professional nurses to be full partners in inter-professional teams to affect change, to improve quality of care, and to reflect on their own development.","3","NURS 405 or NURS 411 or NURS 412 or NURS 461 or NURS 462S","NURS 482 or NURS 483S"
"NURS","454","Leadership II for the Accelerated Student","Leadership and management competencies needed by professional nurses to be full partners in inter-professional teams to affect change, to improve quality of care, and to reflect on their own development. Focus on issues related to transition to professional nursing practice.","2","NURS 354 or NURS 419 or NURS 420 or NURS 422 or NURS 471R","NURS 415 or NURS 432 or NURS 433 or NURS 444 or NURS 445"
"NURS","455","Nursing Leadership and Management Dimensions","Explores the foundations for decision-making, problem-solving, and critical-thinking/reasoning skills, as well as management and leadership skills needed to address the leadership and management problems presented in the workplace.","3","",""
"NURS","457","Honors: Nursing Leadership","Honors version of NURS 452 . Leadership and management competencies needed by professional nurses to be full partners in inter-professional teams to affect change, to improve quality of care, and to reflect on their own development.","3","NURS 405 or NURS 411 or NURS 412 or NURS 461 or NURS 462S","NURS 482 or NURS 483S"
"NURS","461","Nursing Care of the Adult II","Emphasis on using, integrating, and synthesizing knowledge from natural and behavioral sciences to high-quality, evidence-based care to adult patients and their families.","3","NURS 321 or NURS 353 or NURS 362S or NURS 363 or NURS 371R or NURS 378R or NURS 411 or NURS 412 or NURS 462S",""
"NURS","462S","Clinical Immersion IV","Provides the opportunity to practice health promotion, health restoration, and health maintenance for patients and families. Builds on all previous immersion practica to synthesize the scientific process, evidence, clinical reasoning, and problem-solving to support clinical decision-making. Experiences are in a variety of settings, supplemented with simulation and service-learning experiences.","4","",""
"NURS","470","Special Topics","In-depth study of selected nursing topics, problems, or issues not covered in other courses. Topics determined by faculty and student interest.","1-3","",""
"NURS","471R","Nursing Research for the Accelerated Student","Provides the student with the concepts, knowledge and skills necessary to search, analyze, critique, and synthesize nursing research for application to evidence-based nursing practice.","3","NURS 309 or NURS 316 or NURS 322 or NURS 333 or NURS 354","NURS 351 or NURS 419 or NURS 420 or NURS 422"
"NURS","472","Evidence Based Practice and Nursing Research","Provides the RN with the concepts, knowledge and skills necessary to search, analyze, critique, and synthesize nursing research and to function as an integral member of team activities which support the application of evidence-based nursing practice (EBP).","3","",""
"NURS","482","Population Health","Builds on the foundation of nursing knowledge, communication skills, critical reasoning to understand the unique needs of populations. Evidence-based strategies for health, wellness, and disease prevention with care coordination for vulnerable groups are highlighted.","3","NURS 405 or NURS 411 or NURS 412 or NURS 461 and NURS 462S","NURS 483S"
"NURS","483S","Clinical Immersion V","Provides students the opportunity to practice health promotion, restoration and maintenance with patient populations. Builds on the foundation of nursing knowledge, communication skills and critical reasoning to address the unique needs of a population. Experiences are in a variety of settings and supplemented with simulation and service-learning.","2","",""
"NURS","488R","Nursing Honors Capstone","An individualized senior level course conducted with the guidance of the honors students  faculty mentor. The capstone project will demonstrate scholarship, basic understanding of the research process and relevance to professional trends and issues.","1","",""
"NURS","490","Directed Clinical Practice1-","Additional opportunities for undergraduate clinical nursing practice. Objectives to be developed collaboratively by student and faculty.","10","",""
"NURS","491","International Studies","Participation in selected health and nursing care in foreign countries.","1-3","",""
"NURS","493","Independent Study","Nursing or health-related topic not covered in other nursing courses.","1-3","",""
"NURS","494","Capstone Course for the Registered Nurse","Focus on the development of a professional e-portfolio, including a personal philosophy of nursing and strategic plan for lifelong learning and continued professional development.","4","ENGL 102 or ENGL 112 or ENGL 132 or ENGL 298",""
"NURS","496","Preparation for Professional Licensure","Preparation for the NCLEX-RN exam to promote success in obtaining professional licensure.","1","NURS 405 or NURS 411 or NURS 412 or NURS 461 and NURS 462S","NRSP 495N"
"NUTR","100","Introductory Nutrition","Nutritional concepts, current consumer issues in nutrition, nutritional needs through life cycle, and international nutrition concerns and/or issues.","3","",""
"NUTR","104","Sports Nutrition and the Female Athlete","Nutritional concepts focusing on the female athlete, including the optimal training diet; balancing energy with activity; positive fueling before, during, and after sports events; and sorting out nutritional supplements.","1","",""
"NUTR","105","Sports Nutrition and the Male Athlete","Nutritional concepts focusing on the male athlete, including the optimal training diet; balancing energy with activity; positive fueling before, during, and after sports events; and sorting out nutritional supplements.","1","",""
"NUTR","150","Exploring Nutrition: Opening the Door to Careers in Health","Exploration of the nutrition major and minor as the foundation for career opportunities in nutrition and dietetics, community health promotion, biomedical research, and health professions including medicine, physician assistant, pharmacy, and others. ","1","",""
"NUTR","200","Introduction to Sports Nutrition","This course explores the benefits of regular physical activity and the specific nutritional requirements necessary for active lifestyles. The goal of this course is to develop an understanding of the appropriate nutritional practices in relation to exercise or sport training to promote health, energy, and adaptations. (RE) Prerequisite(s): NUTR 100 *.","3","",""
"NUTR","216","World Foods","This course provides information on foods found around the world including historical and cultural aspects, how to select and prepare, and nutrition content and disease prevention capacity.","3","",""
"NUTR","220","Diet & Disease","This course introduces students to the basic aspects of how diet and different nutrients influence common diseases, including cancer and cardiovascular disease. This course is designed to familiarize students with basic concepts of the disease processes and how lifestyle increases and decreases risk.","3","NUTR 100",""
"NUTR","272","Functional Foods and Health","Students will learn about coffee, tea, herbs, and spice from an agricultural, culinary, anatomy, physiology, chemistry, and nutrition science perspective. The focus of the course will be on what the food does in the body and how human health can be impacted. Satisfies Volunteer Core Requirement: (NS)","3","",""
"NUTR","285","Fundamentals of Human Lactation","This course covers the basics of human lactation biology, human milk composition, and the rationale for supporting breastfeeding/chestfeeding as a public health initiative. This course will provide opportunities for students to apply these concepts to their own lives, both personally and professionally.","3","NUTR 100",""
"NUTR","302","Life Span Nutrition","Physiological development and psychosocial factors that influence nutrient needs and nutrition behaviors of individuals across the life span. Nutrition education strategies for various age groups.","3","NUTR 100",""
"NUTR","311","Physiological Biochemistry","Biochemical principles underlying physiological events in animals. Metabolism of carbohydrates, lipids, proteins, and nucleic acids. Role of vitamins and minerals as coenzyme and prosthetic groups. Action of drugs and hormones.","4","BIOL 160 or BCMB 230 or CHEM 260",""
"NUTR","314","Energy Metabolism and Metabolic Integration","Integration of carbohydrate, fat, and protein metabolism as applied to nutrient utilization and requirements in humans.","3","NUTR 311 or BCMB 401 and CHEM 260",""
"NUTR","315","Nutrition Assessment","Introduction to the Nutrition Care Process, including validated malnutrition risk screening tools, with a focus on mastering knowledge of all domains of the nutrition assessment. Introductory pharmacology and dietary supplements will be addressed.","2","NUTR 100 and NUTR 311 or BCMB 230 or CLAS 273","NUTR 302 or NUTR 314 or NUTR 321 and NUTR 322"
"NUTR","316","Nutrition Assessment Practicum","Hands-on experiential training and practice in nutrition screening and across nutrition assessment domains; orientation to the electronic health record; electronic Nutrition Care Process Terminology (eNCPT); case practice in basic nutrition assessment and diagnosis and documentation. Includes 45 practicum hours.","1","NUTR 100 and NUTR 311 or BCMB 230 or CLAS 273","NUTR 302 or NUTR 314 or NUTR 315 or NUTR 321 and NUTR 322"
"NUTR","320","Nutrition Research Design and Methods I","Scientific method, basic study design, identifying primary research, critically evaluating peer-reviewed scientific nutrition literature, introduction to evidence-based guidelines.","2","NUTR 100 and STAT 201",""
"NUTR","321","Vitamins in Human Nutrition1.","Nutritional and biochemical significance of vitamins as it pertains to human health and disease. First session semester course.","5","NUTR 100 and BCMB 230 or NUTR 322",""
"NUTR","322","Minerals in Human Nutrition1.","Nutritional and biochemical significance of minerals as it pertains to human health and disease. Second session semester course.","5","NUTR 100 and BCMB 230 or NUTR 321",""
"NUTR","403","Nutrition and Dietetics Management","Management with specific application to nutrition and dietetics practice settings including: foodservice systems, leadership, marketing, organizational design, facilities planning and design, quality improvement, human resources, budgeting and financial resources, and strategic management.","3","",""
"NUTR","410","Professional Issues in Nutrition and Dietetics","Code of ethics, professional behavior including leadership/teamwork, scope of practice/standards of professional practice, governance, licensure, payment systems (coding/billing), development of professional e-portfolio.","1","",""
"NUTR","412","Food and Nutrition in the Community","Influence of health characteristics, geographic, social, economic, educational, and cultural factors on food and nutrition programming. Relationship of community food and nutrition problems to programs and services for families and communities with particular attention to disease prevention and public policy.","3","NUTR 302",""
"NUTR","413S","Food and Nutrition in the Community Practicum","Application of principles of concepts introduced in NUTR 412 (Food and Nutrition in the Community). Students will work in the community. Successful completion of 20 hours of service learning is required.","1","NUTR 302","NUTR 412"
"NUTR","415","Clinical Nutrition I","Nutritional genomics in practice; obesity, diabetes, cardiovascular disease, and cancer risk factors, prevention, pathophysiology, treatment, and evidence-based nutrition intervention.","3","NUTR 314 or NUTR 315 or NUTR 321 and NUTR 322",""
"NUTR","416","Clinical Nutrition II","Introduction to methods and calculations in nutrition support. Diagnosis, pathophysiology, management, evidence-based guidelines for nutrition intervention, and case scenario discussion of diseases and disorders including those of the GI tract, liver and biliary system, exocrine pancreas, neurological diseases and disorders, pulmonary disease.","3","NUTR 415",""
"NUTR","420","Nutrition Research Design & Methods II","Reading and interpretation of the nutrition research literature, including statistics. Development of skills in asking a practice question, planning data collection, collecting and analyzing data to inform future nutrition and dietetics practice. Understanding ethics in human research.","2","CMST 210 or CMST 240 or NUTR 320 and STAT 201",""
"NUTR","421","Diet and Physical Activity Assessment","Skill development in diet and physical activity assessment in children and adults.","1","NUTR 100",""
"NUTR","422","Nutrition Education & Counseling","Introduction of communication, education, and counseling skills for aiding change in eating habits, with emphasis on skill development in client-centered counseling, using the Nutrition Care Process as a framework.","3","NUTR 315 or NUTR 316 and PSYC 110 or PSYC 117 or NUTR 415",""
"NUTR","425","Clinical Nutrition I Practicum","Case-based experience in nutrition intervention for obesity, diabetes, and cardiovascular disease. Progression in practice experience from peer simulations to work with standardized patients for integration of nutrition education and client-centered nutrition counseling. Use of the electronic health record and application of evidence-based practice guidelines.","1","NUTR 315 or NUTR 316","NUTR 415 or NUTR 422"
"NUTR","426","Clinical Nutrition II Practicum","Introduction to clinical nutrition practice application in a community healthcare setting.","2","NUTR 315 or NUTR 316 or NUTR 415 or NUTR 422 or NUTR 425","NUTR 416"
"NUTR","430","Foodservice Management Practicum","Hands-on experience rotating through various positions in a largescale foodservice operation.","1","","HTM 210"
"NUTR","450","Special Topics: Nutrition","Developments, issues, and problems in nutrition. Topics will vary.","1-3","",""
"NUTR","473","Wellness Education & Coaching","Development of group wellness education competencies to assist children, adults, and families to apply knowledge and behaviors related to diet, physical activity, stress management, and sleep to improve health trajectories; development of individual and group wellness coaching competencies with a focus on diet, activity, stress management, and sleep. (RE) Prerequisite(s): NUTR 100 *.","3","",""
"NUTR","492","Field Experience: Nutrition","Grading Restriction: Satisfactory/No Credit grading only.","1-3","",""
"NUTR","493","Directed Study: Nutrition","Individual student/faculty experience.","1-3","",""
"NUTR","499","Basic Training in Biomedical Research","This course is designed to provide students with the basic necessary hands-on laboratory experience needed for further education and careers in biomedical research. Students enrolled in this class will acquire basic laboratory skills in biomedical research through conducting a short research project and possibly presenting the findings in local undergraduate research meetings or exhibitions(RE) Prerequisite(s): BIOL 160 * or BCMB 230 .","3","",""
"ORPM","100","Foundations of Outdoor Recreation","This course is an overview of the outdoor recreation industry and profession with emphasis on history of outdoor recreation, managing outdoor recreation, current outdoor recreation trends, public/private outdoor recreation providers, and individual, communal and societal benefits of outdoor recreation. This course highlights the breadth and diversity of the outdoor recreation industry and emphasizes the contributions and outcomes associated with outdoor recreation participation. ","3","",""
"ORPM","150","Public Lands and Protected Areas","The practical and theoretical basis of recreational use of public and private lands is examined in the context of ecosystem management.  The statutory and regulatory policies and current issues regarding the management and use of lands in wilderness systems, wild and scenic river corridors, parks, and open spaces are discussed in detail.  The impacts of recreational uses on the environment and conflicts with other uses of land and resources are discussed. Land use planning policies and decisions, which respond to recreation, wilderness and open space issues will be examined. ","3","",""
"ORPM","199","Outdoor Recreation Certifications","As part of the professional semester during the fall of their junior year, students will obtain three outdoor recreation related certification.  These certifications will be professional in nature, be recognized by a national or international entity (e.g. SOLO, ACA, NOLS), provide a skill recognized as relevant to the outdoor recreation field, and provide an opportunity for the student to be more marketable upon graduation.  Trainings can include, but are not limited to: swiftwater rescue, Leave No Trace, WFA, WFR, rock climbing instructor, trip leader, canoe/kayak instructor, etc. ","3","",""
"ORPM","250","Ecotourism","This course will explore the obstacles and opportunities of using ecotourism and agritourism to contribute to rural economic development. Examples of successful ecotourism projects both domestically and internationally will be presented with an emphasis on the role of National Parks as tourism destinations. Agritourism efforts in Tennessee will be highlighted and compared to similar efforts in other states and countries. Principles of attracting and managing tourists and park visitors in a sustainable manner also will be covered. ","3","",""
"ORPM","300","Outdoor Recreation Leadership","A philosophy, history, and practical application of outdoor recreation leadership using various adventure and outdoor recreation-based methods and techniques. (RE) Prerequisite(s): ORPM 100 , ORPM 150 ","3","",""
"ORPM","325","Managing Outdoor Recreation Impacts","The practical and theoretical basis of recreational use of public and private lands is examined in the context of ecosystem management.  The statutory and regulatory policies and current issues regarding the management and use of lands in wilderness systems, wild and scenic river corridors, parks, and open spaces are discussed in detail.  The impacts of recreational uses on the environment and conflicts with other uses of land and resources are discussed. Land use planning policies and decisions, which respond to recreation, wilderness and open space issues will be examined.  (RE) Prerequisite(s): ORPM 100 , ORPM 150 ","3","",""
"ORPM","375","Outdoor Recreation Natural History","This course will introduce students to the vertebrate fauna of Tennessee and the Great Smoky Mountains ecoregion. Specifically, students will learn to identify the amphibians, reptiles, birds and mammals found regularly in Tennessee parks and wildlife areas. The course will help prepare students interested in taking the Tennessee Natural Resource Officer wildlife identification test as well as prepare park interpreters and managers to identify species found in their parks and educate the public about local species.  (RE) Prerequisite(s): ORPM 100 , ORPM 150 ","3","",""
"ORPM","400","Outdoor Recreation and Policy","Parks and protected areas play a vital role in the landscape, both for the people who use them and the natural resources they protect. The desire to maximize public access as well as protection can create conflicting demands on small to moderate sized parks. This course will explore current best practices for the social and ecological design and management of parks and protected areas. Course content will also discuss theoretical foundations of human beings  relationship to nature and landscapes. (RE) Prerequisite(s): ORPM 100 , ORPM 150 ","3","",""
"ORPM","415","Program Evaluation and Research in Outdoor Recreation","Includes the essential elements of social science research technique relating to natural resources, outdoor education and recreation management. Topics investigated in this course will include design and administration of mail, intercept, telephone, web surveys, structured interviews, and focus groups. This course will incorporate psychological aspects, social theories, and statistical elements of research design and methodology. This course is a general plan for scientific research. (RE) Prerequisite(s): ORPM 400 ","3","",""
"ORPM","430","Natural and Cultural Interpretation","Outdoor recreation and natural resources provide a unique context for educating adults and children about environmental issues. This context provides a learning environment that is conducive to promoting environmental awareness and interpretation techniques. This course will include philosophies, concepts, and practical techniques of Environmental Interpretation (EI). This course will introduce students, through lectures, class activities, and projects, to individuals and agencies involved in EI. Students will learn the methods, principles, and philosophies of environmental interpretation in natural systems, with specific emphasis being placed upon the natural resource recreation context. The roles of environmental education and persuasive communication in promoting environmental attitudes and behaviors will also be emphasized.  ","3","",""
"ORPM","440","Recreation Ecology","Physical impacts are an inevitable result of visitor use of outdoor environments. Much of the focus of outdoor recreation management is on reducing the scope of such impacts or on mitigating their effects. The literature on outdoor recreation management classifies impacts into two types: those affecting the resource itself (physical impacts), and those affecting visitors (social impacts). This class focuses primarily on physical impacts to the resource. Effective management must include anticipating and monitoring impacts and modeling potential solutions prior to implementing policies. (RE) Prerequisite(s): ORPM 325 ","3","",""
"ORPM","450","Access and Participation in Outdoor Recreation","This course explores the concepts of access, equity, and participation in outdoor recreation activities. Students will examine the barriers that hinder diverse populations from engaging in outdoor activities, analyze strategies to promote inclusivity, and study the societal and environmental impacts of outdoor recreation. ","3","",""
"ORPM","475","Commercial Outdoor Recreation","An investigation of the methods and techniques of commercial recreation management and its position within the tourism and outdoor recreation industries. Examines customer service and marketing, international markets, human resources and fiscal implications. This course will focus on the foundations for commercial recreation and an introduction to resort management. ","3","",""
"ORPM","495","Internship in Outdoor Recreation and Park Management","Placement in a recreation agency to lead and develop recreation programs, supervise personnel and facilities, and perform administrative duties. A minimum of 400 clock hours typically covering 10 weeks. (RE) Prerequisite(s): ORPM 415 ","6","",""
"PBRL","270","Public Relations Principles","Theories and principles of public relations. Overview of public relations in management of business, government, institutions and organizations. Brief case studies and public relations projects.","3","",""
"PBRL","310","Public Relations Design","Study, use, and application of design, color, type, and layout styles as they affect concept development in the creation of promotional materials. Analysis of organizational goals and how they mold strategic and conceptual development. Application of relevant computer software for creation of promotional material.","3","PBRL 270 or ADVT 250",""
"PBRL","320","Public Relations Writing","Mechanics of effective writing for various media to achieve organizational goals. Overview of governing communication and persuasion theories. Focus on implementation of research-based, planned, and managed techniques in a lab setting.","3","PBRL 270 or PBRL 310 or JMED 200","PBRL 380"
"PBRL","340R","Public Relations Research","(See ADVT 340R )","3","",""
"PBRL","370","Public Relations Cases","Oral and written analysis of current and classic case studies in public relations. Ethics, professional organizations, publications, research, and forms of public relations. Methods of communication and persuasion.","3","PBRL 340R",""
"PBRL","380","Public Relations Professional Seminar","Exploration of career choices in mass communication. Resume and letter writing, interviewing, and portfolio preparation.","1","PBRL 270",""
"PBRL","400","Ethical and Legal Issues in Public Relations","Exploring legal and ethical issues that affect the practice of public relations.","3","",""
"PBRL","420","Advanced Public Relations Writing","Advanced mechanics of effective writing for various media to achieve organizational goals and produce professional-quality public relations materials. Advanced understanding of governing communication and persuasion theories. Focus on implementation of research-based, planned, strategic, and managed techniques in a lab setting.","3","PBRL 320",""
"PBRL","430","Crisis Communication","Emphasis on practical and theoretical applications to preparing for and engaging in crisis communication and management, including risk communication and issues management.","3"," and ",""
"PBRL","461","Social Media","(See ADVT 461 .)","3","",""
"PBRL","470","Public Relations Campaigns","Research, planning, and communication and evaluation of major public relations campaigns. Oral and written presentation of a public relations project from inception to completion. Requires extensive out-of-class work.","3","PBRL 320 and PBRL 370 and ADVT 250",""
"PBRL","470S","Public Relations Campaigns","Research, planning, and communication and evaluation of major public relations campaigns. Oral and written presentation of written public relations project from inception to completion. Requires extensive out-of-class work.","3","PBRL 320 and PBRL 370 and ADVT 250",""
"PBRL","490","Special Topics","Topics vary.","3","",""
"PBRL","491","Foreign Study1-","Approval of hours and topic by advisor required prior to registration.","15","",""
"PBRL","493","Independent Study","Repeatability: May be repeated. Maximum 6 hours.","3","",""
"PBRL","495","Professional Advancement Seminar","Optional, preparatory training for students seeking an entry-level, professional designation in public relations accreditation. Earning a professional nationally recognized designation will give new graduates an advantage in a competitive job market.","1","",""
"PERS","161","Elementary Persian I","Taped language program.","3","",""
"PERS","162","Elementary Persian II","Taped language program.","3","PERS 161",""
"PERS","261","Intermediate Persian I","Taped language program.","3","",""
"PERS","262","Intermediate Persian II","Taped language program.","3","PERS 261",""
"PHIL","101","Introduction to Philosophy","An introduction to philosophy focusing on central problems, such as knowledge and belief, the meaning of life, the existence of God, freedom of the will, morality, human nature, and mind. Honors version available (PHIL 107 ).","3","",""
"PHIL","107","Honors: Introduction to Philosophy","An introduction to philosophy focusing on central problems, such as knowledge and belief, the meaning of life, the existence of God, freedom of the will, morality, human nature, and mind. Honors version of PHIL 101 .","3","",""
"PHIL","130","Critical Thinking","An introduction to recognizing, analyzing, and evaluating arguments of other people as well as constructing arguments oneself.  Topics include argument reconstruction, informal logic, identifying fallacies, and sound reasoning.","3","",""
"PHIL","200","Special Topics","Special Topics Course. Content will vary each semester.","3","",""
"PHIL","235","Formal Logic","Introduction to formal deductive systems   propositional and predicate logic.","3","",""
"PHIL","244","Professional Responsibility","Critical analysis of selected texts from philosophy and other fields dealing with responsibility and the nature of professionalism. Moral concepts, principles of professional responsibility, and analytical skills applied to selected case studies and other detailed descriptions of professional practice, such as in engineering/architecture, business/accounting, law/politics, the helping professions (social work, human services, ministry), and teaching. Satisfies Volunteer Core Requirement: (AH) (OC)","3","",""
"PHIL","246","Ethics and Technology","An introduction to ethical issues that concern emerging technologies, such as artificial intelligence, robotics, social media, biological augmentation, and virtual reality.  Topics may include the dangers of AI, whether machines can be moral, privacy, autonomous weapons, genetic engineering, and how to properly govern the development and use of technology.","3","",""
"PHIL","252","Contemporary Moral Problems","An introduction to contemporary ethical issues, such as euthanasia, capital punishment, reproductive technologies, sexual ethics, diversity, war, world poverty, employment practices, and the environment. Satisfies Volunteer Core Requirement: (AH) (WC)","3","ENGL 102 or ENGL 112 or ENGL 132 or ENGL 298",""
"PHIL","255","Sustainability Ethics","An introduction to the concept and ethical implications of sustainability and related values, such as resilience and adaptivity.","5","",""
"PHIL","255S","Sustainability Ethics","An introduction to the concept and ethical implications of sustainability and related values, such as resilience and adaptivity.","5","",""
"PHIL","256","Social Justice","An introduction to philosophical writings on the themes of personhood, community, and social justice that facilitates the experiential exploration of these themes through sustained student participation in community organizations.","5","",""
"PHIL","300","Special Topics","Special Topics Course. Content will vary each semester.","3","",""
"PHIL","320","Ancient Western Philosophy","A study of major philosophical works during the ancient period, such as works by pre-Socratics, Plato, Aristotle, the Stoics, the Epicureans, and others. Honors version available (PHIL 327 ).","3","ENGL 102 or ENGL 112 or ENGL 132 or ENGL 298",""
"PHIL","322","Medieval Philosophy","A study of major philosophical works during the medieval period, such as works by Augustine, Anselm, Averroes, Maimonides, Aquinas, and Occam.","3","ENGL 102 or ENGL 112 or ENGL 132 or ENGL 298",""
"PHIL","324","17th- and 18th-Century Philosophy","A study of major philosophical works during the modern period, such as works by Descartes, Spinoza, Locke, Berkeley, du Ch telet, Leibniz, Hume, and Kant. Honors version available (PHIL 328 ).","3","ENGL 102 or ENGL 112 or ENGL 132 or ENGL 298",""
"PHIL","326","Topics in 19th- and 20th-Century Philosophy","A study of major philosophical works during the 19th and 20th Centuries, such as works by Hegel, Marx, Kierkegaard, Nietzsche, Frege, Russell, Wittgenstein, Anscombe, and Quine.","3","ENGL 102 or ENGL 112 or ENGL 132 or ENGL 298",""
"PHIL","327","Honors: Ancient Western Philosophy","A study of major philosophical works during the ancient period, such as works by pre-Socratics, Plato, Aristotle, the Stoics, the Epicureans, and others. Honors version of PHIL 320 .","3","ENGL 102 or ENGL 112 or ENGL 132 or ENGL 298",""
"PHIL","328","Honors: 17th- and 18th-Century Philosophy","A study of major philosophical works during the modern period, such as works by Descartes, Spinoza, Locke, Berkeley, du Ch telet, Leibniz, Hume, and Kant. Honors version of PHIL 324 .","3","ENGL 102 or ENGL 112 or ENGL 132 or ENGL 298",""
"PHIL","340","Ethical Theory","An exploration of some basic issues about morality, such as the nature of moral truth, whether any moral principles are absolute, what moral obligations we have, why we should be moral, what is good and worth striving for, and the role of virtues and ideals in the moral life. Honors version available (PHIL 347 *).","3","ENGL 102 or ENGL 112 or ENGL 132 or ENGL 298",""
"PHIL","345","Bioethics","An exploration of ethical issues in medicine, the life sciences, biomedical technology, public health, and/or the environment, such as abortion, euthanasia, human experimentation, informed consent, fairness in health care delivery, and the doctor-patient relationship.","3","ENGL 102 or ENGL 112 or ENGL 132 or ENGL 298",""
"PHIL","346","Environmental Ethics","An exploration of issues concerning the nature of the environment and the place of humanity within it. Honors version available (PHIL 348 *).","3","ENGL 102 or ENGL 112 or ENGL 132 or ENGL 298",""
